iter	Logloss
0	0.5409054537
1	0.4743359924
2	0.4388960327
3	0.4157668611
4	0.3995805258
5	0.3921701586
6	0.3862412432
7	0.3754812526
8	0.3706338074
9	0.3684632689
10	0.3641613764
11	0.3607484446
12	0.3590405734
13	0.3553338908
14	0.3543465303
15	0.3529686886
16	0.3520666868
17	0.3508492222
18	0.3486739754
19	0.3482715398
20	0.3476226067
21	0.346496441
22	0.3457661099
23	0.3448332101
24	0.3441824194
25	0.3435873833
26	0.3430816582
27	0.3427893313
28	0.3415906404
29	0.3412576846
30	0.340938115
31	0.3406972721
32	0.3404354293
33	0.3398517606
34	0.3395355304
35	0.3365395869
36	0.334833793
37	0.3337849433
38	0.3335321429
39	0.3331780619
40	0.332683486
41	0.3323083453
42	0.3320024246
43	0.3309508753
44	0.3289168437
45	0.3283068675
46	0.3279662358
47	0.3277535211
48	0.3274297482
49	0.3264631397
50	0.3243447235
51	0.3223895192
52	0.3196523208
53	0.3180674258
54	0.3176667836
55	0.3159784121
56	0.3147934763
57	0.3135125101
58	0.3113855085
59	0.3111769763
60	0.3098413579
61	0.3086736322
62	0.3085012575
63	0.3058075178
64	0.3045572437
65	0.3043657327
66	0.3038605047
67	0.3034379207
68	0.3032003619
69	0.3020817644
70	0.3016961823
71	0.3010679456
72	0.3004447046
73	0.2990278535
74	0.2967096331
75	0.294902813
76	0.2924799569
77	0.2917462034
78	0.2914318063
79	0.2911592367
80	0.2898006738
81	0.2868589063
82	0.2855279291
83	0.2853266344
84	0.2848654739
85	0.2841469803
86	0.2839900938
87	0.2838281358
88	0.2836905112
89	0.2835443318
90	0.2833858687
91	0.2830340772
92	0.2827187387
93	0.2824640627
94	0.2822289904
95	0.282125827
96	0.2819191812
97	0.2816468002
98	0.2805039801
99	0.2798262329
100	0.2789503307
101	0.2781559913
102	0.2774701573
103	0.2760711179
104	0.2757017633
105	0.2748036648
106	0.2744884015
107	0.2743280176
108	0.2741177829
109	0.2735975776
110	0.2724337986
111	0.272042644
112	0.2705610578
113	0.2683302543
114	0.2680588967
115	0.2678911595
116	0.2675857804
117	0.2663099331
118	0.2651292291
119	0.2649757969
120	0.2648770259
121	0.2647640138
122	0.2636093205
123	0.2632405235
124	0.2618437757
125	0.2611015073
126	0.2607149056
127	0.2602888819
128	0.2595949289
129	0.2589576161
130	0.2581997107
131	0.2574157676
132	0.2570178529
133	0.256344947
134	0.2558792664
135	0.2555405809
136	0.2552825674
137	0.2544014522
138	0.2529361833
139	0.2522375054
140	0.2521520596
141	0.2520303776
142	0.2517965881
143	0.2510885814
144	0.2501759729
145	0.2500003385
146	0.2499113163
147	0.2497507486
148	0.2494421787
149	0.2492487235
150	0.2490401063
151	0.2482214961
152	0.2478498491
153	0.2473280397
154	0.2471917374
155	0.2470142936
156	0.2468501942
157	0.245325688
158	0.2447565206
159	0.2442996042
160	0.2424839884
161	0.2413819772
162	0.2412522424
163	0.2397508032
164	0.239219409
165	0.239147363
166	0.238862294
167	0.2387407189
168	0.2381035317
169	0.2379201249
170	0.2377451125
171	0.2376388893
172	0.2369111692
173	0.2367447442
174	0.2365812608
175	0.2365196674
176	0.2363524304
177	0.2361006532
178	0.2359201306
179	0.2355331097
180	0.2354461978
181	0.2346589257
182	0.2345892665
183	0.2344995525
184	0.233600773
185	0.2335575862
186	0.2334648278
187	0.2333478924
188	0.2329293807
189	0.2327786891
190	0.231881279
191	0.2311063578
192	0.2308848972
193	0.230791645
194	0.2301604785
195	0.2300003643
196	0.2293037975
197	0.2290146295
198	0.2288856991
199	0.2287758549
200	0.2284846715
201	0.2280504368
202	0.227969017
203	0.2275706434
204	0.2273833082
205	0.2268585152
206	0.2265071774
207	0.2260580138
208	0.2258886656
209	0.2246127747
210	0.2242772631
211	0.2236873406
212	0.2222416473
213	0.2209702692
214	0.2200348249
215	0.2199396823
216	0.2195264125
217	0.2193377083
218	0.219171279
219	0.2186859209
220	0.2185970242
221	0.2184679848
222	0.2183997295
223	0.2182096995
224	0.2171103563
225	0.2163106901
226	0.2161683627
227	0.2155217331
228	0.2152964201
229	0.2151751686
230	0.2150674176
231	0.2149503864
232	0.2144494625
233	0.214349361
234	0.2142884684
235	0.2138154944
236	0.2135453301
237	0.2132716876
238	0.2130481127
239	0.2129300986
240	0.2126142043
241	0.2123758848
242	0.2116956547
243	0.2105066623
244	0.2101072033
245	0.2093518
246	0.2091839384
247	0.2086830377
248	0.2082011272
249	0.2079615708
250	0.2078434153
251	0.2077636592
252	0.2074066235
253	0.2072969318
254	0.2071487417
255	0.2070731935
256	0.2069155165
257	0.206846815
258	0.2065147924
259	0.2063914483
260	0.2059796583
261	0.2058257527
262	0.2055854377
263	0.2054591472
264	0.2052734407
265	0.2051791204
266	0.2051191308
267	0.2049538763
268	0.2035938434
269	0.2030471927
270	0.2018388889
271	0.2009998002
272	0.2003498833
273	0.1999943128
274	0.1998657441
275	0.1997394522
276	0.1996903682
277	0.199497791
278	0.1994049741
279	0.1993343113
280	0.1992940784
281	0.1992108311
282	0.198979079
283	0.1988526731
284	0.1984960587
285	0.1983854942
286	0.1982985964
287	0.1980317364
288	0.1978790051
289	0.1970586349
290	0.1962535431
291	0.1959060585
292	0.1958423568
293	0.1956377521
294	0.1955309994
295	0.1954321099
296	0.1953600962
297	0.1952938246
298	0.1950789871
299	0.1949477332
300	0.1948682223
301	0.1947255539
302	0.1945967897
303	0.1944923024
304	0.1937184529
305	0.1931912599
306	0.1931440154
307	0.1929938279
308	0.1929122792
309	0.1928198406
310	0.192722164
311	0.1926655644
312	0.1926281514
313	0.1925495199
314	0.1924837072
315	0.1922951701
316	0.1921557567
317	0.1920727341
318	0.191794764
319	0.1911585008
320	0.1907974612
321	0.1907319137
322	0.1906460844
323	0.1904540974
324	0.1903443155
325	0.1899385163
326	0.1898034434
327	0.1897088239
328	0.1896226328
329	0.1888822199
330	0.1883960915
331	0.1883155213
332	0.1878681767
333	0.1874204188
334	0.1869840786
335	0.1868677565
336	0.1866323767
337	0.186187909
338	0.1860086438
339	0.1859093069
340	0.1858181978
341	0.1857113969
342	0.185557073
343	0.1854899371
344	0.1853124966
345	0.1851885982
346	0.1850964794
347	0.1848598055
348	0.1847510667
349	0.184598087
350	0.1844469978
351	0.1843350103
352	0.1842478175
353	0.1839836019
354	0.1836793325
355	0.1836002187
356	0.1831810567
357	0.1828818169
358	0.1827481178
359	0.182510123
360	0.1818653246
361	0.1813583043
362	0.1811162322
363	0.1809044074
364	0.1807578812
365	0.1806987651
366	0.180595052
367	0.1805283609
368	0.1804778659
369	0.1803718677
370	0.1803241546
371	0.1802035648
372	0.180138539
373	0.1800081786
374	0.1799201369
375	0.179568433
376	0.1792073726
377	0.1790897635
378	0.1790274677
379	0.178829455
380	0.1787315822
381	0.1785574219
382	0.1783109312
383	0.1782297797
384	0.1781668185
385	0.1779052517
386	0.1778533193
387	0.1778198493
388	0.1777735155
389	0.1776165641
390	0.1775529608
391	0.1770747997
392	0.176892989
393	0.1768215835
394	0.1766284602
395	0.1765667036
396	0.1763511978
397	0.1762673907
398	0.1761739696
399	0.1760226349
400	0.1758969097
401	0.1755061079
402	0.1754432311
403	0.175381561
404	0.1753015904
405	0.1748334352
406	0.1745530067
407	0.1742027177
408	0.1741266083
409	0.1740413691
410	0.1739440087
411	0.1738848991
412	0.1738152037
413	0.1737641426
414	0.1733449171
415	0.1732331703
416	0.1729248233
417	0.1728779525
418	0.1728292483
419	0.1727701794
420	0.1726619629
421	0.1723467057
422	0.1721473771
423	0.1720768156
424	0.1720300496
425	0.1719808225
426	0.1719460232
427	0.1718493853
428	0.1717914521
429	0.1716610053
430	0.1715288038
431	0.1714342095
432	0.1713383673
