iter	Logloss
0	0.5431335914
1	0.443012928
2	0.3768452825
3	0.3312509101
4	0.30146172
5	0.2793574217
6	0.2643009402
7	0.2527506851
8	0.2432874598
9	0.2368998772
10	0.2317976282
11	0.2276587295
12	0.2243035994
13	0.2202884087
14	0.2177469193
15	0.2157324488
16	0.2136939189
17	0.211865358
18	0.2098789216
19	0.2084722897
20	0.2066129151
21	0.2045650261
22	0.2026172643
23	0.2014941942
24	0.2004157342
25	0.1991737048
26	0.1979824709
27	0.1966368252
28	0.1956141046
29	0.1941947752
30	0.1926461465
31	0.1916188612
32	0.190449411
33	0.1896762608
34	0.1886732493
35	0.187722418
36	0.1869248626
37	0.1860061275
38	0.1853213254
39	0.1843209794
40	0.183279843
41	0.182620732
42	0.1820116409
43	0.1812675297
44	0.1805510882
45	0.1798860869
46	0.1791690773
47	0.1784268501
48	0.1778954596
49	0.1773181304
50	0.1766375977
51	0.1760504555
52	0.1753204723
53	0.1746425884
54	0.1741440543
55	0.1736925855
56	0.1732517547
57	0.1727418847
58	0.1721099958
59	0.1716446974
60	0.1709532243
61	0.1704392994
62	0.1700588356
63	0.169497176
64	0.1690813546
65	0.1685293625
66	0.1679115162
67	0.1675066306
68	0.1671400466
69	0.1667265538
70	0.1663613288
71	0.1659915869
72	0.1655476839
73	0.1651842152
74	0.164789633
75	0.164400105
76	0.1638917483
77	0.1632709907
78	0.1629489949
79	0.1623383495
80	0.1618813784
81	0.1615592241
82	0.1612044473
83	0.1608548864
84	0.1605479112
85	0.1600750877
86	0.1597400164
87	0.1594102414
88	0.15899192
89	0.1586881958
90	0.1583297417
91	0.1580514906
92	0.157693828
93	0.1573458165
94	0.156793935
95	0.1564157247
96	0.1561368238
97	0.1556208292
98	0.1552576482
99	0.1548248764
100	0.1545456239
101	0.1542331636
102	0.1539893435
103	0.1536177862
104	0.1533493546
105	0.1531275569
106	0.1528536853
107	0.1524271279
108	0.1521180234
109	0.1519073902
110	0.1515637682
111	0.151326183
112	0.1510374535
113	0.1508441
114	0.1505255353
115	0.1501898457
116	0.1499252101
117	0.1496175365
118	0.1494059276
119	0.1491612889
120	0.1489940211
121	0.1488215766
122	0.1486210672
123	0.1483402534
124	0.1480437164
125	0.1478062734
126	0.1475751179
127	0.1472256242
128	0.1469593105
129	0.1467587109
130	0.1465877187
131	0.1463784493
132	0.1462309363
133	0.1460729607
134	0.1458742844
135	0.1454914698
136	0.1452783959
137	0.1450216547
138	0.1447934468
139	0.1446210633
140	0.1444054983
141	0.1442487917
142	0.1440584714
143	0.1438153549
144	0.1436506448
145	0.1435286617
146	0.1433642514
147	0.1430944911
148	0.1429401588
149	0.1427147288
150	0.1426091667
151	0.1424081419
152	0.1421976269
153	0.1420842519
154	0.141895162
155	0.1416344667
156	0.1414138558
157	0.1411389114
158	0.1410180485
159	0.1409017012
160	0.1407598642
161	0.1405681584
162	0.1403571162
163	0.1401657252
164	0.1400604581
165	0.1399400513
166	0.1397893777
167	0.1394837406
168	0.1393817811
169	0.1391811824
170	0.1390071191
171	0.1387637681
172	0.1384820858
173	0.1383825947
174	0.138232075
175	0.1380380283
176	0.1378726461
177	0.1376984356
178	0.1374922988
179	0.1373341475
180	0.1372312054
181	0.1370544433
182	0.136891886
183	0.1367849193
184	0.136524441
185	0.1363626171
186	0.1362663948
187	0.1360874936
188	0.1359929821
189	0.1358070348
190	0.1356295482
191	0.1354372913
192	0.1352053083
193	0.1349654017
194	0.1347952017
195	0.1346458421
196	0.1345197202
197	0.1343722881
198	0.1342836633
199	0.1341114435
200	0.1339238439
201	0.1337802288
202	0.1336736366
203	0.1335952318
204	0.1335033691
205	0.133362832
206	0.1332792463
207	0.133204866
208	0.133023531
209	0.1329566462
210	0.1328853491
211	0.1327478561
212	0.1326369637
213	0.13256746
214	0.1323482543
215	0.1321376075
216	0.1320653707
217	0.131926192
218	0.1317347012
219	0.1315498382
220	0.1314142667
221	0.1312439624
222	0.1310724239
223	0.1309355541
224	0.1308094016
225	0.130600256
226	0.1304416799
227	0.1302541349
228	0.1301481848
229	0.1299626813
230	0.1298920166
231	0.1297645802
232	0.1296115558
233	0.1295232259
234	0.1294164817
235	0.1292643272
236	0.1291270178
237	0.1289359723
238	0.1288291894
239	0.1287654476
240	0.128634284
241	0.1285595031
242	0.1284393948
243	0.1283672738
244	0.1282361342
245	0.1281700289
246	0.1280968394
247	0.127979063
248	0.1278064401
249	0.1277054132
250	0.1275556342
251	0.1274819933
252	0.1274125234
253	0.1273124877
254	0.1272032942
255	0.1271441924
256	0.1270892523
257	0.1270316532
258	0.1268678757
259	0.1267128579
260	0.1266561463
261	0.126512453
262	0.1264243063
263	0.1261221259
264	0.1260657255
265	0.1259259373
266	0.1258579255
267	0.12574794
268	0.1256845265
269	0.1255343494
270	0.1254400067
271	0.1252702646
272	0.1251550084
273	0.1250442914
274	0.1249752054
275	0.1248520151
276	0.1248008804
277	0.1246227488
278	0.1245205475
279	0.1243873197
280	0.124284253
281	0.1241356617
282	0.1239744606
283	0.1237886959
284	0.1237260948
